Title,Published_date,Views,Likes,Dislikes,Comments,Duration (Minutes)
AWS Glue DataBrew and Glue | AWS Essentials,2024-09-24T12:00:16Z,1197,38,0,5,45.53
Amazon Athena in AWS | AWS Fundamentals,2024-09-17T12:00:24Z,2535,69,0,6,24.55
Alex Freberg and Ben Rogojan Livestream | Everything Data Analytics and Data Engineering,2024-09-11T03:20:13Z,5201,182,0,7,75.27
Landing a Data Job Course on Analyst Builder,2024-09-03T12:00:05Z,21272,779,0,89,8.33
S3 Storage in AWS | AWS Essentials,2024-08-27T12:00:47Z,3128,97,0,9,14.63
AWS Setup and UI Walkthough | AWS,2024-08-20T12:00:41Z,4594,185,0,14,7.35
Getting Started in Azure Synapse Analytics | Azure Fundamentals,2024-08-13T12:01:05Z,6424,130,0,9,19.62
August Q/A Livestream! Come Ask Me Anything!,2024-08-09T15:17:26Z,5061,220,0,16,98.4
Getting Started in Azure Data Factory | Azure Fundamentals,2024-08-06T12:00:57Z,6574,148,0,20,24.52
How to use Azure SQL Databases | Azure Fundamentals,2024-07-30T12:00:10Z,8623,244,0,9,13.77
Complete Data Analyst Roadmap on Analyst Builder | Become a Data Analyst Faster!,2024-07-25T12:00:34Z,39750,1181,0,144,6.12
Blob Storage and Storage Accounts in Azure | Azure Fundamentals,2024-07-23T12:01:00Z,3452,89,0,10,15.68
Azure Account Setup + $200 Free Credits | Azure Fundamentals,2024-07-16T12:00:38Z,6935,276,0,25,6.62
Building a Fully Interactive Web App using Shiny for Python,2024-07-09T12:01:07Z,9046,301,0,22,59.87
Shiny for Python Components and Layouts | Customizing You Web App,2024-07-02T12:01:00Z,4260,132,0,8,24.13
Shiny for Python Setup and Install | Deploying First Shiny App,2024-06-25T12:00:53Z,7772,251,0,32,14.4
Is the Economy on the Brink of a Recession? | Let's Look at the Data!,2024-06-18T12:00:06Z,12257,732,0,129,21.32
Top 5 Most Common Excel Functions in Excel,2024-06-11T12:00:10Z,7085,338,0,8,16.78
5 Awesome Excel Functions You've Probably Never Heard Of,2024-06-04T12:00:09Z,5184,220,0,17,14.07
How to Create Custom Functions in Excel | Lambda Functions,2024-05-28T12:00:23Z,5328,201,0,13,16.57
Top 5 Most Popular Functions In Microsoft Excel,2024-05-21T12:00:53Z,14443,419,0,27,16.53
Infrastructure of Analyst Builder | Entire Tech Stack | Part 3,2024-05-14T12:00:28Z,4643,83,0,10,45.67
2 Hour Data Analyst Interview Masterclass | Interview Better Than The Competition,2024-05-07T15:16:53Z,67042,2385,0,58,124.67
Challenges of Creating Analyst Builder | Challenges of a Startup | Part 2,2024-05-07T12:00:30Z,2326,60,0,11,45.12
How We Started Analyst Builder | How We Created It | Part 1,2024-04-30T12:00:07Z,6187,205,0,35,22.78
MySQL Exploratory Data Analysis | Full Project,2024-04-23T12:00:21Z,66541,1637,0,86,32.73
750k Subscriber Livestream! | Giveaways | Songs | Q/A,2024-04-18T18:35:41Z,5141,230,0,14,83.27
Data Cleaning in MySQL | Full Project,2024-04-16T12:00:05Z,150945,3643,0,527,51.18
How to get Promoted as a Data Analyst | Alex The Analyst Show Episode 26,2024-04-09T12:00:08Z,8409,262,0,83,56.23
Triggers and Events in MySQL | Advanced MySQL Series,2024-04-02T12:00:19Z,46682,1710,0,69,14.7
How to give up on the job search fast,2024-03-27T12:19:35Z,18061,1340,0,27,0.87
Stored Procedures in MySQL | Advanced MySQL Series,2024-03-26T12:00:12Z,50067,1071,0,46,12.62
Temp Tables in MySQL | Advanced MySQL Series,2024-03-19T12:00:56Z,38536,900,0,40,7.77
CTEs in MySQL | Advanced MySQL Series,2024-03-12T12:00:23Z,63358,1171,0,43,10.52
7 Mistakes to Avoid During Your Data Analyst Job Search,2024-03-05T13:00:01Z,18697,710,0,50,11.9
#DataAnalyst #AnalystBuilder #SQL,2024-03-01T13:43:29Z,16527,1185,0,15,0.63
Q/A Livestream | February Livestream | Ask Me Anything!,2024-02-29T17:10:18Z,5544,191,0,7,94.95
Window Functions in MySQL | Intermediate MySQL,2024-02-27T13:00:08Z,72644,2175,0,70,13.48
Twitter making me tear up over here 🥹,2024-02-23T13:34:27Z,6313,279,0,11,0.27
Subqueries in MySQL | Intermediate MySQL,2024-02-20T13:00:32Z,61542,1137,0,48,11.02
Case Statements in MySQL | Intermediate MySQL,2024-02-13T13:00:19Z,56231,1094,0,60,8.88
We did our best,2024-02-08T13:59:09Z,5895,219,0,5,0.15
"Microsoft Copilot Full Review | AI in Word, PowerPoint, Excel and More!",2024-02-06T13:00:35Z,78878,961,0,48,24.75
Top 5 Emerging Trends in 2024 | CareerFoundry Webinar,2024-01-30T17:30:05Z,13209,477,0,10,74.93
String Functions in MySQL | Intermediate MySQL Series,2024-01-30T13:00:17Z,61467,1184,0,33,11.9
Unions in MySQL | Intermediate MySQL,2024-01-23T13:00:41Z,59110,1176,0,40,7.37
Joins in MySQL | Intermediate MySQL,2024-01-16T13:00:42Z,120889,1810,0,78,17.18
Is my background in Data Analytics?,2024-01-15T14:22:09Z,19447,1319,0,17,0.95
Solving VERY HARD SQL Interview Questions on Analyst Builder,2024-01-11T13:00:16Z,17209,454,0,19,17.05
